Nama,Berat,Dimensi,Garansi,VGA,Tipe Penyimpanan,Processor,Penyimpanan,Ukuran Layar,Warna,RAM,Keyboard,Microsoft Office,Sistem Operasi,Brand,Tipe Layar,Harga
MSI TITAN GT77HX 13VI INTEL I9 13980HX 64GB DDR5 4TB SSD RTX4090-16GB 17.3 UHD 144HZ PKRGB MINILED WIN11HOME BLACK,5 kg,40 × 20 × 10 cm,MSI 2 YEAR (SERVICE & SPAREPART),NVIDIA RTX4090,SSD,Intel Core i9,4TB,17 Inch,Black,16GB,,,Windows 11 Home,MSI,Non Touchscreen,Rp87.999.000
MSI TITAN GT77HX 13VI INTEL I9 13980HX 64GB DDR5 4TB SSD RTX4080-12GB 17.3 UHD 144HZ PKRGB MINILED WIN11HOME BLACK,5 kg,40 × 20 × 10 cm,MSI 2 YEAR (SERVICE & SPAREPART),NVIDIA RTX4080,SSD,Intel Core i9,4TB,17 Inch,Black,64GB,,,Windows 11 Home,MSI,Non Touchscreen,Rp76.999.000
MSI TITAN GT77 13VI INTEL I9 13980HX 64GB DDR5 4TB SSD RTX4080-12GB 17.3″ UHD 144HZ PKRGB MINILED WIN11HOME BLACK,5 kg,40 × 20 × 10 cm,MSI 2 YEAR (SERVICE & SPAREPART),NVIDIA RTX4080,SSD,Intel Core i9,4TB,17 Inch,Black,64GB,,,Windows 11 Home,MSI,Non Touchscreen,Rp78.799.000
MSI STEALTH 17M STUDIO A13VH INTEL I9 13900H 64GB 4TB SSD RTX4090-16GB 17.3 UHD 144HZ PKRGB MINILED WIN11HOME BLACK,5 kg,40 × 20 × 10 cm,MSI 2 YEAR (SERVICE & SPAREPART),NVIDIA RTX4090,SSD,Intel Core i9,4TB,17 Inch,Black,16GB,,,Windows 11 Home,MSI,Non Touchscreen,Rp80.999.000
MSI STEALTH 17 STUDIO A13VH INTEL I9 13900H 64GB 2TB SSD RTX4080-12GB 17.3 UHD 144HZ PKRGB MINILED WIN11HOME BLACK,5 kg,40 × 20 × 10 cm,MSI 2 YEAR (SERVICE & SPAREPART),NVIDIA RTX4080,SSD,Intel Core i9,2TB,17 Inch,Black,64GB,,,Windows 11 Home,MSI,Non Touchscreen,Rp54.999.000
MSI STEALTH 16 A13VG INTEL I7 13700H 32GB 2TB SSD RTX4070-8GB 16.0 QHD+ 240HZ 100SRGB PKRGB WIN11HOME STAR BLUE,5 kg,40 × 20 × 10 cm,MSI 2 YEAR (SERVICE & SPAREPART),NVIDIA RTX4070,SSD,Intel Core i7,2TB,16 Inch,Blue,8GB,,,Windows 11 Home,MSI,Non Touchscreen,Rp40.399.000
MSI STEALTH 15M B12UE INTEL I7 1280P 16GB 1TB SSD RTX3060-6GB 15.6 FHD IPS 144HZ RGB WIN11HOME BLACK,5 kg,40 × 20 × 10 cm,MSI 2 YEAR (SERVICE & SPAREPART),NVIDIA RTX3060,SSD,Intel Core i7,1TB,16 Inch,Black,16GB,,,Windows 11 Home,MSI,Non Touchscreen,Rp22.999.000
MSI STEALTH 15 A13VF INTEL I7 13620H 16GB 1TB SSD RTX4060-8GB 15.6 UHD 120HZ 100SRGB BL WIN11HOME BLACK,5 kg,40 × 20 × 10 cm,MSI 2 YEAR (SERVICE & SPAREPART),NVIDIA RTX4060,SSD,Intel Core i7,1TB,16 Inch,Black,8GB,Backlit Keyboard,,Windows 11 Home,MSI,Non Touchscreen,Rp29.399.000
MSI STEALTH 14 A13VF INTEL I7 13700H 16GB 1TB SSD RTX4060-8GB 15.6 QHD+ IPS 240HZ 100SRGB PKRGB WIN11HOME STAR BLUE,5 kg,40 × 20 × 10 cm,MSI 2 YEAR (SERVICE & SPAREPART),NVIDIA RTX4060,SSD,Intel Core i7,1TB,16 Inch,Blue,8GB,,,Windows 11 Home,MSI,Non Touchscreen,Rp31.299.000
MSI RAIDER GE78HX 13VH INTEL I9 13980HX 64GB DDR5 2TB SSD RTX4070-8GB 17.0 QHD+ 240HZ PKRGB WIN11HOME BLACK,5 kg,40 × 20 × 10 cm,MSI 2 YEAR (SERVICE & SPAREPART),NVIDIA RTX4070,SSD,Intel Core i9,2TB,17 Inch,Black,8GB,,,Windows 11 Home,MSI,Non Touchscreen,Rp44.399.000
